연번,민방위 대피시설명,시설구분,시설 주소,위도,경도,시설 면적,대피가능 인원수,개방여부,평상시 활용 유형,관리기관 전화번호,관리기관명
168,롯데시네마(용암동),공공용,충청북도 청주시 상당구 1순환로 1233 (용암동),36.60702139,127.503085,2889,2020,Y,,043-201-5015,청주시 상당구청
169,용암지하도,공공용,충청북도 청주시 상당구 1순환로 1265 (용암동),36.6091303,127.5055801,336,235,Y,,043-201-5015,청주시 상당구청
170,ABL생명빌딩,공공용,충청북도 청주시 상당구 교서로 1 (영동),36.63690216,127.4858854,621,434,Y,,043-201-5015,청주시 상당구청
171,덕성아파트(지하주차장),공공용,"충청북도 청주시 상당구 꽃산동로 15-1 (금천동, 덕성아파트)",36.62473124,127.5096753,705,493,Y,,043-201-5015,청주시 상당구청
172,"우미린아파트(101,106동 사이 지하주차장)",공공용,"충청북도 청주시 상당구 꽃산동로 25 (금천동, 금천우미린)",36.62400432,127.5102384,1710,1196,Y,,043-201-5015,청주시 상당구청
173,수정아파트(101동 옆 지하주차장 ),공공용,충청북도 청주시 상당구 꽃산동로 40 (금천동),36.62320469,127.5075725,1100,769,Y,,043-201-5015,청주시 상당구청
174,"뉴타운아파트(104동,105동사이 지하주차장)",공공용,충청북도 청주시 상당구 꽃산동로 41 (금천동),36.62218125,127.5083617,2435,1703,Y,,043-201-5015,청주시 상당구청
175,경희아파트(101동 앞 지하주차장),공공용,충청북도 청주시 상당구 꽃산동로 4-2 (금천동),36.62664843,127.5089277,1118,782,Y,,043-201-5015,청주시 상당구청
176,장미아파트(나동 옆 지하주차장),공공용,"충청북도 청주시 상당구 꽃산서로8번길 15 (금천동, 장미아파트)",36.62487056,127.505741,495,346,Y,,043-201-5015,청주시 상당구청
177,상당구청,공공용,충청북도 청주시 상당구 남일면 단재로 466 (상당구청),36.58974701,127.5051362,5705.26,3990,Y,,043-201-5015,청주시 상당구청
178,신라송림아파트(지하주차장),공공용,충청북도 청주시 상당구 단재로77번길 21-22 (영운동),36.6227406,127.4971011,6379,4461,Y,,043-201-5015,청주시 상당구청
179,두산하이츠타운아파트(지하주차장),공공용,"충청북도 청주시 상당구 단재로95번길 40 (영운동, 두산하이츠타운)",36.62104234,127.4989548,585.85,410,Y,,043-201-5015,청주시 상당구청
180,세원아파트(지하주차장 ),공공용,충청북도 청주시 상당구 무농정로 90 (용암동),36.60938419,127.5111257,3234,2262,Y,,043-201-5015,청주시 상당구청
181,우민타워,공공용,"충청북도 청주시 상당구 사북로 164 (북문로3가, 대우타워아파트.우민타워)",36.64453409,127.4891181,2441,1707,Y,,043-201-5015,청주시 상당구청
182,홈플러스,공공용,충청북도 청주시 상당구 사직대로 346 (서문동),36.63601581,127.4857948,1650,1154,Y,,043-201-5015,청주시 상당구청
183,대현지하상가,공공용,"충청북도 청주시 상당구 사직대로 지하 367-1 (영동, 대현프리몰)",36.63694329,127.4881666,1454,1017,Y,,043-201-5015,청주시 상당구청
184,상당지하도1,공공용,"충청북도 청주시 상당구 사직대로 지하 370-5, 대현프리몰 (영동)",36.63687691,127.488533,264,185,Y,,043-201-5015,청주시 상당구청
185,국민연금공단 청주지사,공공용,"충청북도 청주시 상당구 사직대로362번길 20 (서문동, 국민연금공단청주지사)",36.63581471,127.4873768,2258,1579,Y,,043-201-5015,청주시 상당구청
186,LH청주탑동아파트 104동 지하주차장,공공용,"충청북도 청주시 상당구 산성로 55 (탑동, 엘에이치청주탑동아파트)",36.63014458,127.5013301,1782,1246,Y,,043-201-5015,청주시 상당구청
187,가좌마을부영5단지아파트,공공용,"충청북도 청주시 상당구 산성로116번길 23 (용담동, 가좌마을5단지부영아파트)",36.63293771,127.5056819,1442,1008,Y,,043-201-5015,청주시 상당구청
188,덕일빌딩,공공용,"충청북도 청주시 상당구 상당로 126 (북문로2가, 수협은행)",36.63938916,127.4903111,574,401,Y,,043-201-5015,청주시 상당구청
189,청주시청(후관),공공용,"충청북도 청주시 상당구 상당로 155 (북문로3가, 청주시청)",36.64161216,127.4896721,1187,830,Y,,043-201-5015,청주시 상당구청
190,한화생명보험(주),공공용,"충청북도 청주시 상당구 상당로 195 (북문로3가, 한화생명빌딩)",36.64579926,127.4891216,4446,3109,Y,,043-201-5015,청주시 상당구청
191,남궁타워,공공용,충청북도 청주시 상당구 상당로 47 (남문로2가),36.63263764,127.4903756,2640,1846,Y,,043-201-5015,청주시 상당구청
192,충북도청,공공용,"충청북도 청주시 상당구 상당로 82 (문화동, 충청북도청)",36.63538716,127.4914262,825,577,Y,,043-201-5015,청주시 상당구청
193,신일아파트,공공용,"충청북도 청주시 상당구 상당로5번길 89 (남주동, 신일아파트)",36.62855409,127.4858866,2062,1442,Y,,043-201-5015,청주시 상당구청
194,청주시청 제2청사,공공용,"충청북도 청주시 상당구 상당로69번길 38, 청주시청 제2청사 (북문로1가)",36.63464982,127.4884116,489,342,Y,,043-201-5015,청주시 상당구청
195,상당지하도2,공공용,충청북도 청주시 상당구 상당로91번길 2 (북문로1가),36.63648494,127.4900646,264,185,Y,,043-201-5015,청주시 상당구청
196,금천동주민센터(지하 1층),공공용,"충청북도 청주시 상당구 쇠내로 50 (금천동, 금천동주민센터)",36.624425,127.4994283,158.4,111,Y,,043-201-5015,청주시 상당구청
197,"삼일아파트(102동,103동 지하주차장)",공공용,충청북도 청주시 상당구 수영로 136 (영운동),36.61672145,127.5004517,1818.18,1271,Y,,043-201-5015,청주시 상당구청
198,효성아파트(101동 옆 지하주차장),공공용,충청북도 청주시 상당구 수영로 204 (금천동),36.62244616,127.5036994,1633,1142,Y,,043-201-5015,청주시 상당구청
199,장자마을e그린2차아파트(602동 앞 지하주차장),공공용,"충청북도 청주시 상당구 수영로 294 (금천동, 장자마을부영e그린타운2차아파트)",36.63059044,127.5067041,1600,1119,Y,,043-201-5015,청주시 상당구청
200,"장자마을부영5단지아파트(504동,505동사이 주차장)",공공용,"충청북도 청주시 상당구 수영로 306 (금천동, 장자마을5단지부영아파트)",36.63148849,127.5074255,1710,1196,Y,,043-201-5015,청주시 상당구청
201,세영첼시빌아파트,공공용,"충청북도 청주시 상당구 수영로 327 (용담동, 가좌마을용담세영첼시빌)",36.63313851,127.5093147,1874,1310,Y,,043-201-5015,청주시 상당구청
202,장자마을현대아파트(정문 옆 지하주차장),공공용,"충청북도 청주시 상당구 수영로 328 (금천동, 장자마을현대아파트)",36.63262701,127.5092353,2098,1467,Y,,043-201-5015,청주시 상당구청
203,미림아파트(103동 옆 지하주차장),공공용,충청북도 청주시 상당구 수영로101번길 49 (영운동),36.61784308,127.4951245,589.68,412,Y,,043-201-5015,청주시 상당구청
204,한진신세대아파트(지하주차장),공공용,충청북도 청주시 상당구 영운천로119번길 7 (영운동),36.62070943,127.510324,3325.44,2325,Y,,043-201-5015,청주시 상당구청
205,태암수정아파트(101동 앞 지하주차장),공공용,충청북도 청주시 상당구 영운천로51번길 26 (영운동),36.6185289,127.5043492,5815,4066,Y,,043-201-5015,청주시 상당구청
206,삼진화랑아파트(102동 옆 지하주차장),공공용,충청북도 청주시 상당구 영운천로83번길 25 (영운동),36.62020198,127.5059117,1162.33,813,Y,,043-201-5015,청주시 상당구청
207,모드니아파트,공공용,"충청북도 청주시 상당구 용담로105번길 70 (용담동, 용담모드니아파트)",36.63664179,127.5008847,372,260,Y,,043-201-5015,청주시 상당구청
208,우성아파트 103동 지하주차장,공공용,충청북도 청주시 상당구 용담로63번길 33 (대성동),36.63302754,127.49977,825,577,Y,,043-201-5015,청주시 상당구청
209,우성아파트 108동 지하주차장,공공용,"충청북도 청주시 상당구 용담로63번길 33 (대성동, 우성아파트)",36.63302754,127.49977,825,577,Y,,043-201-5015,청주시 상당구청
210,현대아파트(1103동 1104동 사이 주차장),공공용,"충청북도 청주시 상당구 용암로 23 (용암동, 현대홈타운)",36.61080528,127.5083854,1625,1136,Y,,043-201-5015,청주시 상당구청
211,덕성아파트(105동 맞은편 주차장),공공용,"충청북도 청주시 상당구 용암로 3 (용암동, 덕성그린타운)",36.60939907,127.509333,1633,1142,Y,,043-201-5015,청주시 상당구청
212,임광아파트,공공용,"충청북도 청주시 상당구 용암로 35 (용암동, 용암임광아파트)",36.61155795,127.5068523,924,646,Y,,043-201-5015,청주시 상당구청
213,롯데마트 상당점,공공용,"충청북도 청주시 상당구 용암북로160번길 60 (용암동, 롯데마트)",36.62041408,127.5161307,3503.1,2450,Y,,043-201-5015,청주시 상당구청
214,한라비발디2단지아파트 지하주차장,공공용,"충청북도 청주시 상당구 용정로 35 (용정동, 용정 한라비발디 2단지)",36.63112071,127.5166806,34209,23922,Y,,043-201-5015,청주시 상당구청
215,태산아파트(103동 105동 사이 주차장),공공용,"충청북도 청주시 상당구 원봉로 20 (용암동, 태산그린아파트)",36.61363327,127.511279,1947,1362,Y,,043-201-5015,청주시 상당구청
216,소라아파트(104동 106동 사이 주차장),공공용,"충청북도 청주시 상당구 원봉로 21 (용암동, 용암소라아파트)",36.61212241,127.5097264,1659,1160,Y,,043-201-5015,청주시 상당구청
217,현대2차아파트,공공용,"충청북도 청주시 상당구 원봉로 41 (용암동, 용암현대2차아파트)",36.612939,127.5092668,1039,727,Y,,043-201-5015,청주시 상당구청
218,현대1차아파트,공공용,"충청북도 청주시 상당구 월평로 189 (용암동, 용암현대1차아파트)",36.61057191,127.5064747,871,609,Y,,043-201-5015,청주시 상당구청
219,형석아파트(105동 106동 사이 주차장),공공용,"충청북도 청주시 상당구 월평로 207 (용암동, 용암형석아파트)",36.60879346,127.5076568,1419,992,Y,,043-201-5015,청주시 상당구청
220,효성아파트(101~103동 사이 주차장),공공용,"충청북도 청주시 상당구 월평로 221 (용암동, 효성아파트)",36.60841646,127.5081551,1603,1121,Y,,043-201-5015,청주시 상당구청
221,부영아파트(101~103동 사이 주차장),공공용,충청북도 청주시 상당구 월평로 243 (용암동),36.60730227,127.5107767,2060,1441,Y,,043-201-5015,청주시 상당구청
222,장자마을부영9단지아파트(903동 뒤 지하주차장),공공용,"충청북도 청주시 상당구 중고개로 286 (금천동, 장자마을9단지부영아파트)",36.62862391,127.5097233,2100,1469,Y,,043-201-5015,청주시 상당구청
223,"장자마을부영7단지(702,706동사이지하주차장)",공공용,"충청북도 청주시 상당구 중고개로 288 (금천동, 장자마을7단지부영아파트)",36.62881246,127.5086199,2395,1675,Y,,043-201-5015,청주시 상당구청
224,중앙상가아파트 남동,공공용,"충청북도 청주시 상당구 중앙로 18 (북문로2가, 중앙상가 아파트)",36.63882775,127.4892162,850,594,Y,,043-201-5015,청주시 상당구청
225,중흥마을 부영2차아파트,공공용,"충청북도 청주시 상당구 중흥로 196 (용암동, 중흥마을2단지부영아파트)",36.6198047,127.5153486,2046,1431,Y,,043-201-5015,청주시 상당구청
226,용암1동 주민센터,공공용,충청북도 청주시 상당구 중흥로 29 (용암동),36.60883847,127.5012816,752,526,Y,,043-201-5015,청주시 상당구청
227,현대3차아파트,공공용,"충청북도 청주시 상당구 중흥로 70 (용암동, 용암현대3차아파트)",36.61125578,127.5041587,1716,1200,Y,,043-201-5015,청주시 상당구청
228,건영아파트,공공용,"충청북도 청주시 상당구 중흥로 71 (용암동, 건영아파트)",36.61199609,127.5038327,3451,2413,Y,,043-201-5015,청주시 상당구청
229,현대아파트 지하주차장,공공용,"충청북도 청주시 상당구 탑동로 78 (탑동, 현대아파트)",36.63198632,127.5022275,1498,1048,Y,,043-201-5015,청주시 상당구청
230,장자마을부영8단지(정문 좌측 지하주차장),공공용,"충청북도 청주시 상당구 호미로 261 (금천동, 장자마을부영아파트)",36.62896049,127.5102487,2392,1673,Y,,043-201-5015,청주시 상당구청
231,가좌마을 부영e그린타운아파트,공공용,"충청북도 청주시 상당구 호미로 317 (용담동, 가좌마을부영그린타운1차)",36.63445431,127.5092787,1247,872,Y,,043-201-5015,청주시 상당구청
232,가좌마을 부영2단지아파트,공공용,"충청북도 청주시 상당구 호미로 329 (용담동, 가좌마을2단지부영아파트)",36.63579546,127.5083706,2640,1846,Y,,043-201-5015,청주시 상당구청
233,가좌마을용담e-편한세상아파트,공공용,"충청북도 청주시 상당구 호미로 330 (용담동, 가좌마을용담이-편한세상)",36.63575761,127.5096361,1228,859,Y,,043-201-5015,청주시 상당구청
234,"장자마을부영10단지(1003,1005동사이 지하주차장)",공공용,"충청북도 청주시 상당구 호미로233번길 74 (금천동, 장자마을부영아파트)",36.62763652,127.5105083,1600,1119,Y,,043-201-5015,청주시 상당구청
235,분평주공2단지아파트,공공용,충청북도 청주시 서원구 1순환로1137번길 129 (분평동),36.61220291,127.492294,4214.9,2947,Y,,043-201-6016,청주시 서원구청
236,분평주공3단지아파트,공공용,충청북도 청주시 서원구 1순환로1137번길 130 (분평동),36.61165422,127.4933591,5292.59,3701,Y,,043-201-6016,청주시 서원구청
237,주은프레지던트아파트,공공용,충청북도 청주시 서원구 1순환로1137번길 79 (분평동),36.6102826,127.4920761,2046,1431,Y,,043-201-6016,청주시 서원구청
238,개신뜨란채2단지아파트,공공용,충청북도 청주시 서원구 경신로 68 (개신동),36.62169528,127.4499403,7057.88,4936,Y,,043-201-6016,청주시 서원구청
239,성화호반베르디움아파트,공공용,"충청북도 청주시 서원구 구룡산로 24 (성화동, 성화호반베르디움)",36.61485283,127.4473475,38535,26948,Y,,043-201-6016,청주시 서원구청
240,산남주공4차아파트,공공용,"충청북도 청주시 서원구 구룡산로 275-13 (수곡동, 산남주공2.4단지아파트)",36.61808984,127.4743382,6360.36,4448,Y,,043-201-6016,청주시 서원구청
241,목화맨션,공공용,"충청북도 청주시 서원구 구룡산로 421 (수곡동, 목화맨션)",36.61817552,127.4914421,1652.9,1156,Y,,043-201-6016,청주시 서원구청
242,한국전력공사 충북지역본부,공공용,충청북도 청주시 서원구 구룡산로 51 (성화동),36.61525663,127.4501936,629,440,Y,,043-201-6016,청주시 서원구청
243,덕희아파트,공공용,"충청북도 청주시 서원구 남사로 14 (사직동, 덕희아파트)",36.62975683,127.4781573,1455,1017,Y,,043-201-6016,청주시 서원구청
244,가마힐데스하임아파트,공공용,충청북도 청주시 서원구 남이면 2순환로 1717 (청주가마힐데스하임),36.5985157,127.4701771,9272,6484,Y,,043-201-6016,청주시 서원구청
245,삼포아파트,공공용,충청북도 청주시 서원구 남이면 저산척북로 636-10 (삼포아파트),36.57146994,127.4232695,6137,4292,Y,,043-201-6016,청주시 서원구청
246,가경주공4단지아파트,공공용,"충청북도 청주시 서원구 대림로 459 (죽림동, 청주가경4주공아파트)",36.61172701,127.4427063,3152,2204,Y,,043-201-6016,청주시 서원구청
247,"가경주공3단지(아)301,305",공공용,충청북도 청주시 서원구 대림로 493 (죽림동),36.61314967,127.4439798,4327.29,3026,Y,,043-201-6016,청주시 서원구청
248,산남동 유승한내들아파트(지하주차장),공공용,"충청북도 청주시 서원구 두꺼비로 109 (산남동, 유승한내들아파트)",36.61482273,127.4637078,1531,1071,Y,,043-201-6016,청주시 서원구청
249,산남푸르지오아파트(지하주차장),공공용,"충청북도 청주시 서원구 두꺼비로 53 (산남동, 청주산남푸르지오)",36.60947587,127.4640513,2508,1754,Y,,043-201-6016,청주시 서원구청
250,대원칸타빌1단지아파트(지하주차장),공공용,"충청북도 청주시 서원구 두꺼비로 63 (산남동, 대원칸타빌1단지)",36.61058327,127.4638434,1980,1385,Y,,043-201-6016,청주시 서원구청
251,산남퀸덤아파트(지하주차장),공공용,"충청북도 청주시 서원구 두꺼비로 93 (산남동, 산남퀸덤아파트)",36.61288308,127.4638124,6650,4650,Y,,043-201-6016,청주시 서원구청
252,분평계룡리슈빌1차아파트(지하주차장),공공용,"충청북도 청주시 서원구 매봉로 26-1 (분평동, 분평계룡리슈빌아파트)",36.6123914,127.4778668,571,399,Y,,043-201-6016,청주시 서원구청
253,분평계룡리슈빌2차아파트(지하주차장),공공용,"충청북도 청주시 서원구 매봉로 28 (분평동, 계룡리슈빌2단지아파트)",36.61306967,127.4777145,495,346,Y,,043-201-6016,청주시 서원구청
254,선광임대아파트,공공용,"충청북도 청주시 서원구 매봉로60번길 18 (수곡동, 선광한빛아파트)",36.61503337,127.4788042,307.44,215,Y,,043-201-6016,청주시 서원구청
255,두진백로1차(아)101,공공용,충청북도 청주시 서원구 모충로 38 (개신동),36.62487675,127.468061,3305.8,2312,Y,,043-201-6016,청주시 서원구청
256,두진백로2차(아)103,공공용,충청북도 청주시 서원구 모충로 38 (개신동),36.62487675,127.468061,826.45,578,Y,,043-201-6016,청주시 서원구청
257,삼호아파트 (지하주차장),공공용,충청북도 청주시 서원구 모충로104번길 25 (모충동),36.62799448,127.4753917,838,586,Y,,043-201-6016,청주시 서원구청
258,두산한솔아파트 (지하주차장),공공용,충청북도 청주시 서원구 모충로124번길 53 (모충동),36.62639341,127.4773584,1294,905,Y,,043-201-6016,청주시 서원구청
259,송학삼익(아)103앞,공공용,"충청북도 청주시 서원구 모충로12번길 4 (개신동, 송학아파트)",36.62450185,127.4653085,2383.48,1667,Y,,043-201-6016,청주시 서원구청
260,두산한솔1차(아)101,공공용,충청북도 청주시 서원구 모충로26번길 22 (개신동),36.62366746,127.4666764,1821.5,1274,Y,,043-201-6016,청주시 서원구청
261,두산한솔2차(아)202앞,공공용,충청북도 청주시 서원구 모충로26번길 60 (개신동),36.62339449,127.4682667,2568.61,1796,Y,,043-201-6016,청주시 서원구청
262,서원대학교 (인문사회관 지하),공공용,"충청북도 청주시 서원구 무심서로 377-3 (모충동, 서원대학교)",36.62598136,127.4821185,2976,2081,Y,,043-201-6016,청주시 서원구청
263,분평주공7단지아파트,공공용,충청북도 청주시 서원구 분평로 18 (분평동),36.60835059,127.4868061,2549,1783,Y,,043-201-6016,청주시 서원구청
264,두산위브더제니스,공공용,충청북도 청주시 서원구 사운로 93 (사직동),36.63708076,127.4782697,1901,1329,Y,,043-201-6016,청주시 서원구청
265,현대코아,공공용,"충청북도 청주시 서원구 사직대로 140 (사창동, 현대코아)",36.63461207,127.4626501,5279.36,3692,Y,,043-201-6016,청주시 서원구청
266,서원구청,공공용,충청북도 청주시 서원구 사직대로 227 (사직동),36.63765175,127.4697439,863,603,Y,,043-201-6016,청주시 서원구청
267,교보생명,공공용,"충청북도 청주시 서원구 사직대로 284 (사직동, 교보생명)",36.63546701,127.4788993,1157,809,Y,,043-201-6016,청주시 서원구청
268,국민건강보험 동부지사,공공용,"충청북도 청주시 서원구 사직대로 308-12 (사직동, 국민건강보험공단청주동부지사)",36.63575614,127.4822823,231,162,Y,,043-201-6016,청주시 서원구청
269,산남동 계룡리슈빌아파트(지하주차장),공공용,"충청북도 청주시 서원구 산남로 23 (산남동, 계룡리슈빌아파트)",36.61105899,127.4703024,1010,706,Y,,043-201-6016,청주시 서원구청
270,대원칸타빌2단지아파트(지하주차장),공공용,"충청북도 청주시 서원구 산미로 143 (산남동, 대원칸타빌2단지)",36.60974763,127.4737685,1709,1195,Y,,043-201-6016,청주시 서원구청
271,성화휴먼시아5단지아파트,공공용,"충청북도 청주시 서원구 성봉로 93 (성화동, 성화 휴먼시아5단지)",36.61418775,127.4516584,7383,5163,Y,,043-201-6016,청주시 서원구청
272,한마음2차아파트,공공용,"충청북도 청주시 서원구 수곡로 100 (수곡동, 한마음2차아파트)",36.62113967,127.4715129,1752.07,1225,Y,,043-201-6016,청주시 서원구청
273,청주우편집중국,공공용,"충청북도 청주시 서원구 수곡로 106 (수곡동, 청주우편집중국)",36.62159001,127.4715693,2277.7,1593,Y,,043-201-6016,청주시 서원구청
274,두진하트리움아파트,공공용,"충청북도 청주시 서원구 수곡로 36 (수곡동, 두진하트리움아파트)",36.61473067,127.4751806,4571.92,3197,Y,,043-201-6016,청주시 서원구청
275,세원청실아파트,공공용,"충청북도 청주시 서원구 수곡로 46 (수곡동, 산남세원청실아파트)",36.61625691,127.4738932,2667.78,1866,Y,,043-201-6016,청주시 서원구청
276,한마음1차아파트,공공용,"충청북도 청주시 서원구 수곡로 78 (수곡동, 한마음1차아파트)",36.61911036,127.4724127,2079.35,1454,Y,,043-201-6016,청주시 서원구청
277,세원홍실아파트,공공용,"충청북도 청주시 서원구 수곡로 88 (수곡동, 세원홍실아파트)",36.61996225,127.4721049,2806.62,1963,Y,,043-201-6016,청주시 서원구청
278,세원2차아파트,공공용,"충청북도 청주시 서원구 수영로24번길 1 (수곡동, 세원수곡2차아파트)",36.6150361,127.4887842,1057.86,740,Y,,043-201-6016,청주시 서원구청
279,수정아파트,공공용,"충청북도 청주시 서원구 수영로36번길 5 (수곡동, 수정아파트)",36.61522416,127.4903861,938.85,657,Y,,043-201-6016,청주시 서원구청
280,개신주공3단지,공공용,충청북도 청주시 서원구 신율로 43 (개신동),36.62295969,127.4443848,2088.94,1461,Y,,043-201-6016,청주시 서원구청
281,금호타운아파트,공공용,충청북도 청주시 서원구 쌍샘로107번길 12 (모충동),36.62629698,127.4717053,1380,965,Y,,043-201-6016,청주시 서원구청
282,한국국토정보공사,공공용,"충청북도 청주시 서원구 예체로 149 (사창동, 한국국토정보공사충청북도지역본부)",36.63965744,127.4684277,72,50,Y,,043-201-6016,청주시 서원구청
283,사직동푸르지오캐슬 5단지,공공용,"충청북도 청주시 서원구 예체로 30 (사직동, 푸르지오캐슬)",36.63041979,127.4691589,1046,731,Y,,043-201-6016,청주시 서원구청
284,사직동푸르지오캐슬 1단지,공공용,"충청북도 청주시 서원구 예체로 68 (사직동, 청주푸르지오캐슬아파트)",36.63374817,127.4697158,4120,2881,Y,,043-201-6016,청주시 서원구청
285,대원칸타빌아파트,공공용,"충청북도 청주시 서원구 예체로67번길 87 (사창동, 사창대원칸타빌아파트)",36.63291024,127.4618483,2673,1869,Y,,043-201-6016,청주시 서원구청
286,산남동 부영사랑으로 아파트(지하주차장),공공용,"충청북도 청주시 서원구 원흥로 14 (산남동, 부영사랑으로)",36.60867597,127.474048,3000,2098,Y,,043-201-6016,청주시 서원구청
287,현대대우아파트,공공용,"충청북도 청주시 서원구 월평로 24 (분평동, 현대대우아파트)",36.60895548,127.4878516,3307,2313,Y,,043-201-6016,청주시 서원구청
288,분평뜨란채아파트,공공용,"충청북도 청주시 서원구 월평로 25 (분평동, 청주분평1단지뜨란채아파트)",36.61129037,127.4880586,3241,2266,Y,,043-201-6016,청주시 서원구청
289,남양휴튼아파트,공공용,"충청북도 청주시 서원구 장전로 51 (성화동, 남양휴튼아파트)",36.61754616,127.4528763,27449,19195,Y,,043-201-6016,청주시 서원구청
290,사직동푸르지오캐슬 4단지,공공용,"충청북도 청주시 서원구 창직로 50 (사직동, 청주푸르지오캐슬)",36.63031602,127.4680492,2761,1931,Y,,043-201-6016,청주시 서원구청
291,삼익2차(아)201앞,공공용,충청북도 청주시 서원구 창직로12번길 65 (개신동),36.62788958,127.4645195,4766.96,3334,Y,,043-201-6016,청주시 서원구청
292,산남동 청주현진에버빌아파트(지하주차장),공공용,"충청북도 청주시 서원구 탑골로 6 (산남동, 청주현진에버빌아파트)",36.61143305,127.4723301,1574,1101,Y,,043-201-6016,청주시 서원구청
293,꽃동네대학교도서관(지하1층),공공용,충청북도 청주시 서원구 현도면 상삼길 133 (꽃동네대학교),36.52197368,127.4029833,4124.28,2884,Y,,043-201-6016,청주시 서원구청
294,예술의전당,공공용,충청북도 청주시 서원구 흥덕로 69 (사직동),36.64209999,127.469677,4069.44,2846,Y,,043-201-6016,청주시 서원구청
295,삼일아파트,공공용,"충청북도 청주시 청원구 1순환로341번길 50 (내덕동, 삼일아파트)",36.65636374,127.4776552,1987,1390,Y,,043-201-8062,청주시 청원구청
296,충북지방경찰청,공공용,충청북도 청주시 청원구 2순환로 168 (주성동),36.67535454,127.500782,3422.49,2393,Y,,043-201-8062,청주시 청원구청
297,지하도(율량농협옆),공공용,충청북도 청주시 청원구 공항로 122 (율량동),36.66807871,127.4855891,192,134,Y,,043-201-8062,청주시 청원구청
298,정도드림빌아파트,공공용,충청북도 청주시 청원구 공항로 159-12 (율량동),36.67092039,127.4826001,7243,5065,Y,,043-201-8062,청주시 청원구청
299,두진아파트,공공용,"충청북도 청주시 청원구 공항로150번길 31-8 (율량동, 두진아파트)",36.6715301,127.486009,496,347,Y,,043-201-8062,청주시 청원구청
300,한울1차아파트,공공용,충청북도 청주시 청원구 공항로150번길 53 (율량동),36.67091311,127.4870432,1256,878,Y,,043-201-8062,청주시 청원구청
301,KT빌딩(충북본부),공공용,"충청북도 청주시 청원구 공항로150번길 73 (율량동, KT충청북도본부)",36.67083816,127.4886223,1028,719,Y,,043-201-8062,청주시 청원구청
302,이랜드해가든아파트,공공용,"충청북도 청주시 청원구 공항로84번길 30 (내덕동, 이랜드해가든아파트)",36.66488344,127.4877659,6889,4817,Y,,043-201-8062,청주시 청원구청
303,뿌리병원,공공용,충청북도 청주시 청원구 내덕로 56 (내덕동),36.65686774,127.4867132,2685.6,1878,Y,,043-201-8062,청주시 청원구청
304,우창진주2차아파트,공공용,충청북도 청주시 청원구 내수읍 도원세교로 63 (우창진주2차아파트),36.70973589,127.540732,983,687,Y,,043-201-8062,청주시 청원구청
305,우창진주1차아파트,공공용,충청북도 청주시 청원구 내수읍 도원세교로 67 (우창진주1차아파트),36.70981974,127.5397297,844,590,Y,,043-201-8062,청주시 청원구청
306,진흥2차아파트 203동,공공용,충청북도 청주시 청원구 내수읍 마산3길 3 (진흥2차아파트),36.72137499,127.5382793,1379.34,965,Y,,043-201-8062,청주시 청원구청
307,내수읍사무소 지하주차장,공공용,충청북도 청주시 청원구 내수읍 마산3길 49 (내수읍사무소),36.72391322,127.5349254,682.5,477,Y,,043-201-8062,청주시 청원구청
308,은곡무지개아파트,공공용,충청북도 청주시 청원구 내수읍 은곡4길 6 (은곡무지개아파트),36.71851024,127.52926,1931,1350,Y,,043-201-8062,청주시 청원구청
309,덕일한마음아파트,공공용,충청북도 청주시 청원구 내수읍 은곡묵방길 28 (덕일한마음아파트),36.70930236,127.5256647,1332,931,Y,,043-201-8062,청주시 청원구청
310,세원임대아파트,공공용,"충청북도 청주시 청원구 사북로149번길 7 (우암동, 우암동세원아파트)",36.64575009,127.4870458,2047,1431,Y,,043-201-8062,청주시 청원구청
311,평화아파트,공공용,"충청북도 청주시 청원구 상당로244번길 6 (우암동, 평화아파트)",36.64997705,127.4899577,1653,1156,Y,,043-201-8062,청주시 청원구청
312,덕성그린아파트,공공용,"충청북도 청주시 청원구 새터로 187 (사천동, 덕성그린아파트)",36.66358597,127.4716195,7500,5245,Y,,043-201-8062,청주시 청원구청
313,삼풍오피스텔,공공용,"충청북도 청주시 청원구 새터로 27 (내덕동, 삼풍오피스텔)",36.65572684,127.4862899,277.49,194,Y,,043-201-8062,청주시 청원구청
314,오창부영7단지아파트,공공용,충청북도 청주시 청원구 오창읍 2산단4로 60,36.73730404,127.4494408,2943,2058,Y,,043-201-8062,청주시 청원구청
315,오창부영6단지아파트,공공용,충청북도 청주시 청원구 오창읍 2산단로 125,36.73490104,127.4500851,3352,2344,Y,,043-201-8062,청주시 청원구청
316,대성베르힐아파트 지하주차장,공공용,충청북도 청주시 청원구 오창읍 2산단로 160 (오창대성베르힐아파트),36.73393905,127.4528291,1937,1355,Y,,043-201-8062,청주시 청원구청
317,코아루아파트,공공용,충청북도 청주시 청원구 오창읍 오창중앙로 27 (코아루아파트),36.70612347,127.426451,3129,2188,Y,,043-201-8062,청주시 청원구청
318,중앙하이츠빌아파트,공공용,충청북도 청주시 청원구 오창읍 오창중앙로 32,36.70830481,127.424256,4415,3087,Y,,043-201-8062,청주시 청원구청
319,시재지하보도,공공용,충청북도 청주시 청원구 오창읍 중심상업1로 8-46,36.71594409,127.428896,191.88,134,Y,,043-201-8062,청주시 청원구청
